dbms	TABLE_CATALOG	TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME	ORDINAL_POSITION	DATA_TYPE	CHARACTER_MAXIMUM_LENGTH	CONSTRAINT_TYPE	TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME
sqlserver	championgg	dbo	spell_sets	games	5	int					
sqlserver	championgg	dbo	spell_sets	wins	6	int					
sqlserver	championgg	dbo	rune_sets	patch	1	text		PRIMARY KEY			
sqlserver	championgg	dbo	rune_sets	patch	1	text		FOREIGN KEY	dbo	patch_totals	patch
sqlserver	championgg	dbo	rune_sets	champion_id	2	int		PRIMARY KEY			
sqlserver	championgg	dbo	rune_sets	champion_id	2	int		FOREIGN KEY	dbo	champions	champion_id
sqlserver	championgg	dbo	rune_sets	role	3	text		PRIMARY KEY			
sqlserver	championgg	dbo	rune_sets	keystone	4	int		PRIMARY KEY			
sqlserver	championgg	dbo	rune_sets	sub_style	5	int		PRIMARY KEY			
sqlserver	championgg	dbo	rune_sets	games	6	int					
sqlserver	championgg	dbo	rune_sets	wins	7	int					
sqlserver	championgg	dbo	meta	key	1	text		PRIMARY KEY			
sqlserver	championgg	dbo	meta	value	2	text					
